ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785431235.623,17:07:15,timeslice,2,13.0,6422,16126,39.8
1785431235.623,17:07:15,timeslice,3,13.4,6363,16126,39.5
1785431235.623,17:07:15,timeslice,4,11.9,6418,16126,39.8
1785431235.623,17:07:15,timeslice,5,12.2,6419,16126,39.8
1785431235.623,17:07:15,timeslice,6,10.5,6322,16126,39.2
1785431235.623,17:07:15,timeslice,7,12.9,6415,16126,39.8
1785431236.623,17:07:16,timeslice,0,5.0,6405,16126,39.7
1785431236.623,17:07:16,timeslice,1,12.6,6422,16126,39.8
1785431236.623,17:07:16,timeslice,2,13.0,6422,16126,39.8
1785431236.623,17:07:16,timeslice,3,13.4,6363,16126,39.5
1785431236.623,17:07:16,timeslice,4,11.9,6418,16126,39.8
1785431236.623,17:07:16,timeslice,5,12.2,6419,16126,39.8
1785431236.623,17:07:16,timeslice,6,10.5,6322,16126,39.2
1785431236.623,17:07:16,timeslice,7,12.9,6415,16126,39.8
1785431237.623,17:07:17,timeslice,0,5.0,6405,16126,39.7
1785431237.623,17:07:17,timeslice,1,12.6,6422,16126,39.8
1785431237.623,17:07:17,timeslice,2,13.0,6422,16126,39.8
1785431237.623,17:07:17,timeslice,3,13.4,6363,16126,39.5
1785431237.623,17:07:17,timeslice,4,11.9,6418,16126,39.8
1785431237.623,17:07:17,timeslice,5,12.2,6419,16126,39.8
1785431237.623,17:07:17,timeslice,6,10.5,6322,16126,39.2
1785431237.623,17:07:17,timeslice,7,12.9,6415,16126,39.8
1785431238.623,17:07:18,timeslice,0,98.0,8494,16126,52.7
1785431238.623,17:07:18,timeslice,1,98.1,8575,16126,53.2
1785431238.623,17:07:18,timeslice,2,98.6,8591,16126,53.3
1785431238.623,17:07:18,timeslice,3,97.6,8575,16126,53.2
1785431238.623,17:07:18,timeslice,4,97.9,8575,16126,53.2
1785431238.623,17:07:18,timeslice,5,98.4,8686,16126,53.9
1785431238.623,17:07:18,timeslice,6,56.6,8544,16126,53.0
1785431238.623,17:07:18,timeslice,7,97.0,8622,16126,53.5
1785431239.623,17:07:19,timeslice,0,98.0,8494,16126,52.7
1785431239.623,17:07:19,timeslice,1,98.1,8575,16126,53.2
1785431239.623,17:07:19,timeslice,2,98.6,8591,16126,53.3
1785431239.623,17:07:19,timeslice,3,97.6,8575,16126,53.2
1785431239.623,17:07:19,timeslice,4,97.9,8575,16126,53.2
1785431239.623,17:07:19,timeslice,5,98.4,8686,16126,53.9
1785431239.623,17:07:19,timeslice,6,56.6,8544,16126,53.0
1785431239.623,17:07:19,timeslice,7,97.0,8622,16126,53.5
1785431240.623,17:07:20,timeslice,0,98.0,8494,16126,52.7
1785431240.623,17:07:20,timeslice,1,98.1,8575,16126,53.2
1785431240.623,17:07:20,timeslice,2,98.6,8591,16126,53.3
1785431240.623,17:07:20,timeslice,3,97.6,8575,16126,53.2
1785431240.623,17:07:20,timeslice,4,97.9,8575,16126,53.2
1785431240.623,17:07:20,timeslice,5,98.4,8686,16126,53.9
1785431240.623,17:07:20,timeslice,6,56.6,8544,16126,53.0
1785431240.623,17:07:20,timeslice,7,97.0,8622,16126,53.5
1785431241.623,17:07:21,timeslice,0,98.0,8494,16126,52.7
1785431241.623,17:07:21,timeslice,1,98.1,8575,16126,53.2
1785431241.623,17:07:21,timeslice,2,98.6,8591,16126,53.3
1785431241.623,17:07:21,timeslice,3,97.6,8575,16126,53.2
1785431241.623,17:07:21,timeslice,4,97.9,8575,16126,53.2
1785431241.623,17:07:21,timeslice,5,98.4,8686,16126,53.9
1785431241.623,17:07:21,timeslice,6,56.6,8544,16126,53.0
1785431241.623,17:07:21,timeslice,7,97.0,8622,16126,53.5
1785431242.624,17:07:22,timeslice,0,98.0,8494,16126,52.7
1785431242.624,17:07:22,timeslice,1,98.1,8575,16126,53.2
1785431242.624,17:07:22,timeslice,2,98.6,8591,16126,53.3
1785431242.624,17:07:22,timeslice,3,97.6,8575,16126,53.2
1785431242.624,17:07:22,timeslice,4,97.9,8575,16126,53.2
