ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785433054.716,17:37:34,baseline,2,100.0,8559,16126,53.1
1785433054.716,17:37:34,baseline,3,99.9,8575,16126,53.2
1785433054.716,17:37:34,baseline,4,100.0,8526,16126,52.9
1785433054.716,17:37:34,baseline,5,100.0,8494,16126,52.7
1785433054.716,17:37:34,baseline,6,100.0,8576,16126,53.2
1785433054.716,17:37:34,baseline,7,100.0,8575,16126,53.2
1785433055.717,17:37:35,baseline,0,97.9,10743,16126,66.6
1785433055.717,17:37:35,baseline,1,97.8,10743,16126,66.6
1785433055.717,17:37:35,baseline,2,98.1,10743,16126,66.6
1785433055.717,17:37:35,baseline,3,98.1,10743,16126,66.6
1785433055.717,17:37:35,baseline,4,98.3,10743,16126,66.6
1785433055.717,17:37:35,baseline,5,98.3,10743,16126,66.6
1785433055.717,17:37:35,baseline,6,98.5,10744,16126,66.6
1785433055.717,17:37:35,baseline,7,98.1,10743,16126,66.6
1785433056.717,17:37:36,baseline,0,97.9,10743,16126,66.6
1785433056.717,17:37:36,baseline,1,97.8,10743,16126,66.6
1785433056.717,17:37:36,baseline,2,98.1,10743,16126,66.6
1785433056.717,17:37:36,baseline,3,98.1,10743,16126,66.6
1785433056.717,17:37:36,baseline,4,98.3,10743,16126,66.6
1785433056.717,17:37:36,baseline,5,98.3,10743,16126,66.6
1785433056.717,17:37:36,baseline,6,98.5,10744,16126,66.6
1785433056.717,17:37:36,baseline,7,98.1,10743,16126,66.6
1785433057.717,17:37:37,baseline,0,97.9,10743,16126,66.6
1785433057.717,17:37:37,baseline,1,97.8,10743,16126,66.6
1785433057.717,17:37:37,baseline,2,98.1,10743,16126,66.6
1785433057.717,17:37:37,baseline,3,98.1,10743,16126,66.6
1785433057.717,17:37:37,baseline,4,98.3,10743,16126,66.6
1785433057.717,17:37:37,baseline,5,98.3,10743,16126,66.6
1785433057.717,17:37:37,baseline,6,98.5,10744,16126,66.6
1785433057.717,17:37:37,baseline,7,98.1,10743,16126,66.6
1785433058.717,17:37:38,baseline,0,97.9,10743,16126,66.6
1785433058.717,17:37:38,baseline,1,97.8,10743,16126,66.6
1785433058.717,17:37:38,baseline,2,98.1,10743,16126,66.6
1785433058.717,17:37:38,baseline,3,98.1,10743,16126,66.6
1785433058.717,17:37:38,baseline,4,98.3,10743,16126,66.6
1785433058.717,17:37:38,baseline,5,98.3,10743,16126,66.6
1785433058.717,17:37:38,baseline,6,98.5,10744,16126,66.6
1785433058.717,17:37:38,baseline,7,98.1,10743,16126,66.6
1785433059.717,17:37:39,baseline,0,97.9,10743,16126,66.6
1785433059.717,17:37:39,baseline,1,97.8,10743,16126,66.6
1785433059.717,17:37:39,baseline,2,98.1,10743,16126,66.6
1785433059.717,17:37:39,baseline,3,98.1,10743,16126,66.6
1785433059.717,17:37:39,baseline,4,98.3,10743,16126,66.6
1785433059.717,17:37:39,baseline,5,98.3,10743,16126,66.6
1785433059.717,17:37:39,baseline,6,98.5,10744,16126,66.6
1785433059.717,17:37:39,baseline,7,98.1,10743,16126,66.6
1785433060.717,17:37:40,baseline,0,98.8,8718,16126,54.1
1785433060.717,17:37:40,baseline,1,99.1,8654,16126,53.7
1785433060.717,17:37:40,baseline,2,98.9,8575,16126,53.2
1785433060.717,17:37:40,baseline,3,99.1,8559,16126,53.1
1785433060.717,17:37:40,baseline,4,99.1,8718,16126,54.1
1785433060.717,17:37:40,baseline,5,98.8,8590,16126,53.3
1785433060.717,17:37:40,baseline,6,99.0,8528,16126,52.9
1785433060.717,17:37:40,baseline,7,99.1,8559,16126,53.1
1785433061.717,17:37:41,baseline,0,98.8,8718,16126,54.1
1785433061.717,17:37:41,baseline,1,99.1,8654,16126,53.7
1785433061.717,17:37:41,baseline,2,98.9,8575,16126,53.2
1785433061.717,17:37:41,baseline,3,99.1,8559,16126,53.1
1785433061.717,17:37:41,baseline,4,99.1,8718,16126,54.1
1785433061.717,17:37:41,baseline,5,98.8,8590,16126,53.3
1785433061.717,17:37:41,baseline,6,99.0,8528,16126,52.9
1785433061.717,17:37:41,baseline,7,99.1,8559,16126,53.1
1785433062.717,17:37:42,baseline,0,98.8,8718,16126,54.1
1785433062.717,17:37:42,baseline,1,99.1,8654,16126,53.7
1785433062.717,17:37:42,baseline,2,98.9,8575,16126,53.2
